pic name,ext,fall
frame0,.png,nan
frame1,.png,nan
frame10,.png,nan
frame100,.png,nan
frame101,.png,nan
frame102,.png,nan
frame103,.png,nan
frame104,.png,nan
frame11,.png,nan
frame12,.png,nan
frame13,.png,nan
frame14,.png,nan
frame15,.png,nan
frame16,.png,nan
frame17,.png,nan
frame18,.png,nan
frame19,.png,nan
frame2,.png,nan
frame20,.png,nan
frame21,.png,nan
frame22,.png,nan
frame23,.png,nan
frame24,.png,nan
frame25,.png,nan
frame26,.png,nan
frame27,.png,nan
frame28,.png,nan
frame29,.png,nan
frame3,.png,nan
frame30,.png,nan
frame31,.png,nan
frame32,.png,nan
frame33,.png,nan
frame34,.png,nan
frame35,.png,nan
frame36,.png,nan
frame37,.png,nan
frame38,.png,nan
frame39,.png,nan
frame4,.png,nan
frame40,.png,nan
frame41,.png,nan
frame42,.png,nan
frame43,.png,nan
frame44,.png,nan
frame45,.png,nan
frame46,.png,nan
frame47,.png,nan
frame48,.png,nan
frame49,.png,nan
frame5,.png,nan
frame50,.png,nan
frame51,.png,nan
frame52,.png,nan
frame53,.png,nan
frame54,.png,nan
frame55,.png,nan
frame56,.png,nan
frame57,.png,nan
frame58,.png,nan
frame59,.png,nan
frame6,.png,nan
frame60,.png,nan
frame61,.png,nan
frame62,.png,nan
frame63,.png,nan
frame64,.png,nan
frame65,.png,nan
frame66,.png,nan
frame67,.png,nan
frame68,.png,nan
frame69,.png,nan
frame7,.png,nan
frame70,.png,nan
frame71,.png,nan
frame72,.png,nan
frame73,.png,nan
frame74,.png,nan
frame75,.png,nan
frame76,.png,nan
frame77,.png,nan
frame78,.png,nan
frame79,.png,nan
frame8,.png,nan
frame80,.png,nan
frame81,.png,nan
frame82,.png,nan
frame83,.png,nan
frame84,.png,nan
frame85,.png,nan
frame86,.png,nan
frame87,.png,nan
frame88,.png,nan
frame89,.png,nan
frame9,.png,nan
frame90,.png,nan
frame91,.png,nan
frame92,.png,nan
frame93,.png,nan
frame94,.png,nan
frame95,.png,nan
frame96,.png,nan
frame97,.png,nan
frame98,.png,nan
frame99,.png,nan
